County	Senate_R	Senate_D	Gov_R	Gov_D	LtGov_R	LtGov_D	AG_R	AG_D	area_(mi^2)	pop	Total_Male	Total_Female	Anglo_Total	Anglo_Male	Anglo_Female	Black_Total	Black_Male	Black_Female	Other_Total
Gregg	24457	11027	25439	9915	23513	11464	23937	10986	871	125907	62253	63654	69818	33916	35902	24218	11458	12760	4978
Grimes	6490	2034	6674	1855	6259	2194	6352	2056	1299	27647	15281	12366	16028	8709	7319	4386	2583	1803	629
Guadalupe	33881	20006	36230	17202	34132	18605	33128	19198	802	156046	75836	80210	80906	38613	42293	9743	4916	4827	6281
Hale	5349	1964	5521	1721	4998	2157	5227	1975	900	34932	18135	16797	12004	6139	5865	1746	1086	660	605
Hall	807	161	815	142	743	195	777	164	995	3104	1535	1569	1696	812	884	249	141	108	30
Hamilton	2606	456	2705	365	2486	549	2495	517	849	8686	4342	4344	7495	3705	3790	32	19	13	130
Hansford	1552	138	1548	120	1378	248	1492	149	750	5547	2841	2706	2762	1358	1404	28	16	12	70
Hardeman	973	185	997	154	889	229	919	199	1098	3870	1973	1897	2563	1271	1292	210	112	98	104
Hardin	17373	2634	17510	2325	16853	2798	16882	2629	3171	58206	28725	29481	50166	24684	25482	3433	1622	1811	1325
Harris	498175	698580	558958	627446	508278	674283	494114	683230	909	4565394	2286824	2278570	1301936	652140	649796	819610	385370	434240	406963
Harrison	16190	6205	16706	5530	15555	6536	15828	6197	938	68716	34184	34532	42595	21178	21417	14346	6761	7585	1793
Hartley	1467	153	1491	125	1396	192	1426	169	932	6342	3913	2429	4173	2323	1850	423	418	5	99
Haskell	1360	302	1385	267	1158	497	1277	360	693	5709	3025	2684	3787	1973	1814	207	130	77	135
Hays	33169	45355	37731	39285	33866	42174	32890	42746	1005	201588	99361	102227	109703	53642	56061	6021	3235	2786	7043
Hemphill	1201	156	1190	152	924	368	1092	209	653	4048	2072	1976	2691	1339	1352	5	2	3	57
Henderson	20865	5406	21748	4614	20610	5522	20651	5445	914	81750	40161	41589	63434	30846	32588	4975	2434	2541	2362
Hidalgo	46437	104234	55340	93771	46276	100290	44231	101918	971	855229	419071	436158	62860	31566	31294	3039	1988	1051	11490
Hill	8911	2433	9242	2045	8628	2535	8612	2449	900	35785	17844	17941	25255	12420	12835	2176	1045	1131	878
Hockley	4843	1208	4946	1027	4415	1489	4697	1221	1059	23462	11773	11689	11254	5591	5663	912	452	460	398
Hood	20073	4714	20848	3760	19697	4676	19502	4703	892	56616	27880	28736	48257	23485	24772	247	154	93	1363
Hopkins	9298	2542	9525	2216	8906	2778	8995	2643	1090	36498	18222	18276	26016	12731	13285	2570	1266	1304	1192
Houston	5536	1767	5643	1636	5390	1847	5422	1799	399	23370	12580	10790	14117	7208	6909	6084	3444	2640	533
Howard	5645	1690	5730	1546	5388	1779	5521	1636	874	36192	20437	15755	18593	10041	8552	2228	1610	618	999
Hudspeth	506	404	535	332	463	368	474	348	947	3673	1873	1800	650	357	293	28	22	6	51
Hunt	21094	7142	22055	5940	20718	6984	20395	7047	666	90920	44518	46402	63432	30625	32807	7508	3568	3940	4100
Hutchinson	5851	750	5871	685	5454	997	5696	787	4764	21541	10846	10695	15270	7606	7664	537	293	244	911
Irion	634	95	638	87	572	133	603	99	1454	1671	839	832	1215	607	608	10	6	4	27
Jack	2497	295	2538	245	2380	385	2425	334	748	9189	5127	4062	7192	3841	3351	328	292	36	146
Jackson	3908	831	4013	714	3811	881	3801	863	901	14762	7311	7451	8750	4290	4460	1039	488	551	249
Jasper	9475	2275	9701	1986	9132	2440	9271	2319	931	35572	17590	17982	26230	12874	13356	5902	2869	3033	1074
Jeff_Davis	683	465	719	407	600	509	648	459	918	2296	1146	1150	1361	668	693	11	8	3	56
Jefferson	36694	37059	38958	34451	36149	36611	35918	36835	905	248797	128328	120469	98562	49964	48598	83001	41145	41856	14875
Jim_Hogg	409	1060	508	938	359	1033	349	1031	919	5184	2573	2611	339	179	160	18	15	3	44
Jim_Wells	4512	5321	5082	4606	4301	5136	4272	5106	1729	39882	19781	20101	7185	3555	3630	149	91	58	375
Johnson	39541	12395	41453	10090	38993	12029	38354	12280	926	165405	82527	82878	117793	57727	60066	4768	2582	2186	6085
Jones	4107	830	4159	755	3811	1037	3977	879	1501	19997	12427	7570	11897	6452	5445	2146	1867	279	382
Karnes	2894	1200	3017	1052	2730	1234	2709	1226	1016	15510	9251	6259	6132	3345	2787	1347	1250	97	154
Kaufman	26095	12017	27464	10313	25777	11758	25497	11856	1052	119025	57904	61121	77968	37624	40344	12572	5993	6579	4158
Kendall	15274	4327	16058	3370	15228	4021	15035	4115	1280	42324	20274	22050	31878	14931	16947	163	93	70	907
Kenedy	100	77	111	57	79	64	85	64	1069	418	217	201	89	43	46	1	0	1	11
Kent	288	44	299	34	266	65	275	46	989	813	398	415	663	320	343	8	2	6	13
Kerr	16780	5170	17523	4241	16679	4996	16496	5023	562	51631	25056	26575	35738	16988	18750	755	461	294	1363
Kimble	1493	195	1527	161	1380	273	1464	202	807	4606	2328	2278	3330	1646	1684	11	9	2	62
King	124	6	119	6	93	26	110	13	673	299	147	152	253	118	135	0	0	0	6
Kinney	827	358	884	289	806	324	788	333	903	3710	2014	1696	1383	673	710	40	19	21	62
Kleberg	4073	4436	4818	3612	4009	4112	3960	4115	888	31462	16090	15372	6798	3592	3206	1105	630	475	1118
Knox	855	229	866	217	740	319	818	246	903	3562	1762	1800	2087	1041	1046	210	91	119	57
La_Salle	673	813	728	725	648	753	619	774	914	50653	24672	25981	36884	18003	18881	6859	3208	3651	2685
Lamar	12688	3715	13079	3216	12075	4119	12258	3802	785	13114	6591	6523	5060	2483	2577	538	279	259	245
Lamb	3044	773	3126	667	2823	898	2965	758	1134	20899	10354	10545	14937	7352	7585	593	304	289	1052
Lampasas	5814	1561	6051	1336	5754	1541	5738	1538	910	7620	4531	3089	916	483	433	19	18	1	59
Lavaca	6688	1018	6856	829	6440	1136	6460	1092	894	19709	9760	9949	14373	7036	7337	1357	688	669	303
Lee	4475	1318	4638	1125	4295	1407	4293	1350	848	17092	8621	8471	10695	5231	5464	1817	986	831	381
