name, g, bp-rp, mem
605021395764660480, 14.026,  0.879, N
604996553673826048, 15.592,  1.909, N
604917693778923264, 16.605,  1.243, N
605032730182298880, 16.632,  0.783, N
604960643452708864, 19.595,  1.669, N
604909756680568960, 19.170,  2.013, N
604906801741863936, 16.684,  1.827, Y
604928139138730368, 19.838,  0.727, N
604901338543403264, 19.750,  2.934, N
604980056703710336, 18.881,  2.385, Y
604919927161960448, 16.404,  1.658, Y
604919583564564096, 15.630,  1.150, Y
604901407262882560, 16.932,  1.134, N
605001501476145280, 18.772,  0.844, N
604918385269246976, 16.476,  2.014, N
604949034155646592, 13.323,  0.757, Y
605018814489463680, 10.195,  1.335, N
604952156595904512, 19.454,  1.054, N
604917354477128448,  9.229,  1.496, N
605007097817613824, 16.573,  1.432, N
604906290641338752, 19.197,  2.240, Y
604940993977291776, 15.655,  0.911, N
604968271313446912, 17.806,  0.691, N
604997034710156672, 15.610,  1.130, Y
604997202213330560,  8.145,  0.503, N
604920171975748224, 17.427,  1.808, Y
604900651348634240, 17.627,  1.803, Y
605020983447808640, 15.689,  0.808, N
604899349974191872, 17.566,  1.232, N
605050700325454336, 15.409,  0.939, N
604934667489032320, 19.820,  0.856, N
605033623535505408, 17.144,  1.250, N
604917217038188288, 11.145,  1.234, Y
604958925466971904, 19.841,  1.810, N
604922710300761728, 18.257,  2.110, N
605053620903269120, 19.289,  1.528, N
604903331408222208, 18.504,  2.117, Y
604909206923484160, 17.251,  1.660, N
604906531159506304, 18.965,  2.176, N
605020395037436928, 15.996,  1.026, N
604963259087437184, 17.233,  1.725, Y
604929517824439808, 13.679,  0.767, N
604902506774701312, 19.883,  2.194, N
604949442176562304, 19.354,  2.465, N
604931476329520000, 14.523,  1.352, N
604898177447459584, 19.244,  1.489, N
605048265079566080, 14.196,  0.863, N
604989200689873280, 17.608,  1.285, N
604905015035445504, 18.105,  1.969, Y
604894604034630912, 17.965,  1.730, N
604913815423941120, 12.737,  0.716, Y
604988238617227392, 18.805,  1.011, N
604977926399921280, 18.610,  2.408, N
605060321052424064, 17.357,  1.765, N
604962361442928128, 18.673,  1.990, N
605009369856185728, 14.909,  0.845, N
604933705416341888, 16.921,  0.840, N
604915013719302784, 18.321,  2.022, Y
604980365941357312, 19.643,  2.296, N
605051185657304576, 14.543,  0.781, N
604940100623829376, 17.131,  0.809, N
604912647193030016, 12.502,  1.109, Y
604968997163730048, 17.018,  0.000, N
604895295525155456, 17.162,  1.004, N
604933503554074752, 18.933,  0.884, N
604950717782807424, 15.946,  1.157, N
604944082058063616, 16.328,  1.336, Y
604918140455365888, 14.197,  0.959, Y
605057336050463872, 19.254,  0.000, N
604937248765534976, 17.259,  1.359, N
